CreatedMonthNo,CreatedWeekNo,IssueDate,PermitElapsedDays,ProjectValue,TypeOfWork,PermitCategory,PropertyUse,IssueYear,GeoLocalArea
7,30,12-06-2018,319,639750,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Sunset
7,30,20-03-2018,235,170500,New Building,New Build - Standalone Laneway,Dwelling Uses,2018,Kensington-Cedar Cottage
7,30,18-05-2018,294,150750,New Building,New Build - Standalone Laneway,Dwelling Uses,2018,Sunset
7,30,18-05-2018,294,150750,New Building,New Build - Standalone Laneway,Dwelling Uses,2018,Sunset
7,30,18-05-2018,294,161250,New Building,New Build - Standalone Laneway,Dwelling Uses,2018,Sunset
7,31,11-10-2017,72,37000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
7,31,11-10-2017,72,37000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
7,31,05-07-2018,339,165357,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Hastings-Sunrise
7,31,16-08-2017,16,95000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
7,31,12-06-2018,316,651750,New Building,New Build - Low Density Housing,Dwelling Uses,2018,West Point Grey
8,31,12-09-2017,41,35000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Downtown
8,31,06-09-2017,36,30000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,"Institutional Uses,Service Uses",2017,Mount Pleasant
8,31,05-09-2017,35,1600,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Hastings-Sunrise
8,31,11-08-2017,9,89925,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Institutional Uses,2017,Oakridge
8,31,28-06-2018,330,217775,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Riley Park
8,31,31-08-2017,28,0,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Fairview
8,31,17-10-2017,74,72000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
8,31,08-09-2017,35,18000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
8,31,30-10-2017,87,11000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
8,31,24-11-2017,112,85000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,West End
8,32,06-06-2018,302,216500,New Building,New Build - Standalone Laneway,Dwelling Uses,2018,Killarney
8,32,01-06-2018,297,167250,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Hastings-Sunrise
8,32,20-09-2017,42,75000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Downtown
8,32,29-09-2017,50,65000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Riley Park
8,32,17-10-2017,68,62000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
8,32,14-05-2018,276,1033355,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Oakridge
8,32,12-10-2017,62,15000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,West End
8,33,10-09-2018,392,218275,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Sunset
8,33,24-11-2017,102,10000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Strathcona
8,33,05-06-2019,660,1280788,New Building,New Build - Low Density Housing,Dwelling Uses,2019,Kerrisdale
8,33,14-09-2017,31,100000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,South Cambie
8,33,19-09-2017,35,205000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,"Dwelling Uses,Retail Uses",2017,Kitsilano
8,33,25-08-2017,9,68000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
8,33,13-09-2017,28,50000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
8,33,13-09-2017,27,120000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
8,34,22-09-2017,32,165000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
8,34,15-09-2017,25,5000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Kitsilano
8,34,11-09-2017,21,255000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Downtown
8,34,08-09-2017,18,750000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
8,34,13-09-2017,23,600000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,"Office Uses,Service Uses",2017,Sunset
8,34,24-04-2018,245,156250,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Riley Park
8,34,19-09-2017,27,110000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Hastings-Sunrise
8,34,30-08-2017,7,150000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
8,34,30-08-2017,7,60000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Institutional Uses,2017,Downtown
8,34,24-04-2018,244,1131127.5,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Oakridge
8,34,29-06-2018,310,221352.5,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Oakridge
8,34,24-10-2017,62,80000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Retail Uses,2017,Fairview
8,34,09-04-2018,228,85000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2018,Victoria-Fraserview
8,34,28-02-2018,188,1334200,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Kerrisdale
8,34,27-09-2017,34,180000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
8,34,22-01-2018,151,25000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2018,Killarney
8,34,07-05-2018,255,604250,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Sunset
8,34,23-05-2018,271,743500,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Hastings-Sunrise
8,34,18-09-2017,24,35000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Fairview
8,34,07-06-2018,286,264300,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Oakridge
8,34,01-02-2018,160,942000,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Marpole
8,35,10-01-2018,135,50000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2018,Grandview-Woodland
8,35,17-11-2017,80,45000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Fairview
8,35,20-10-2017,52,48000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Kerrisdale
9,35,04-10-2017,33,21000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Fairview
9,35,10-01-2018,131,1040582.5,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Victoria-Fraserview
9,35,16-01-2018,137,225000,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Victoria-Fraserview
9,35,27-09-2017,26,9000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Retail Uses,2017,Riley Park
9,36,06-03-2018,182,230305,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Hastings-Sunrise
9,36,07-09-2017,1,11000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Fairview
9,36,22-09-2017,16,25000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Downtown
9,36,28-09-2017,22,150000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Fairview
9,36,03-10-2017,25,265000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
9,36,27-09-2017,19,10000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Fairview
9,37,03-10-2017,21,200000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Downtown
9,37,04-10-2017,22,5000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
9,37,03-10-2017,21,5000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
9,37,03-10-2017,21,72000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Cultural/Recreational Uses,2017,Downtown
9,37,19-03-2018,188,179842.5,New Building,New Build - Standalone Laneway,Dwelling Uses,2018,Kensington-Cedar Cottage
9,37,22-03-2018,190,192997.5,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Kerrisdale
9,37,30-10-2017,47,14000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
9,37,15-05-2018,244,221500,New Building,New Build - Standalone Laneway,Dwelling Uses,2018,Hastings-Sunrise
9,37,13-10-2017,30,100,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Victoria-Fraserview
9,37,26-09-2017,12,4900,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Riley Park
9,37,03-10-2017,19,50000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,West End
